Ministério,Categoria 01,title/pt-BR,body/pt-BR
Cidades,Minha Casa Minha Vida,Minha Casa Minha Vida aumentando subsídio para área central,"Aumentar o subsídio se o terreno e o empreendimento for CENTRAL (até 10km do centro da cidade) para que a Faixa 1 seja feita em locais com boa infra estrutura urbana (escolas, creches, hospitais, ônibus, teatros, etc)."
Cidades,"Transporte 
",Programa de subsídios para transporte em cidades brasileiras com recursos de multas e pedágios,"Proposta: criar um programa de subsídios em parceria com prefeituras e empresas de transporte público para financiar a aquisição e manutenção de ônibus e veículos de transporte público em pequenas e médias cidades brasileiras, visando melhorar o transporte coletivo e a qualidade de vida da população local. Esse programa receberia um percentual dos recursos de Multas de Trânsito, estacionamentos rotativos e pedágios."
Cidades,Ampliação de Infraestrutura,Otimizar o uso dos recursos hídricos do Canal do Sertão Alagoano ,"Destinar recursos para a construção de sistemas de tratamento de água para consumo humano ao longo de toda a extensão do canal do sertão, para abastecimento das cidades e dos povoados que o margem, haja vista que muitas comunidades do sertão ainda não têm água encanada."
Meio Ambiente e Mudança do Clima,"Políticas públicas/sociais 
",Programa de Resíduos Solidos,"É importante se ter atenção especial a implementação da Política Nacional de Resíduos Sólidos, que está sendo negligenciada há anos no Brasil"
Mulheres,"Políticas públicas/sociais 
",Saúde Mental Materna Importa,"O Governo Federal deverá estruturar iniciativas voltadas para a saúde mental materna, em especial no período da gestação e do puerpério, considerando inclusive os riscos para o desenvolvimento das nossas crianças. Os índices de adoecimento e de Suicidio nesse período são alarmantes! Temos que assistir as mães com apoio , tornandO obrigatório o pré-natal sicológico e monitoramento dos riscos associados. Temos que dar visibilidade a essa grave questão de saúde no país."
Agricultura e Pecuária,"Moradia 
",Moradia Rural para Famílias de Baixa Renda,"Morar na propriedade do empregador é a realidade da maioria dos trabalhadores rurais e suas famílias, situação que torna a relação de trabalho desigual e frequentemente entendida como parcela da remuneração.
Proponho o ""Minha Ecovila - Minha Vida"" que ofereça essa modalidade de moradia rural próxima aos empregos com incentivo às atividades de subsistência comunitárias (hortas & cia).
Trará + dignidade aos trabalhadores e fixará força de trabalho nas zonas rurais."
Transportes,Ampliação de Infraestrutura,"Viaduto no KM459 da BR-116 para retorno seguro a Santo Estêvão, Bahia","Proposta: construir um viaduto no KM459 da BR-116, próximo à Comunidade do Pau de Vela, para permitir o retorno seguro à cidade de Santo Estêvão. A obra melhorará o acesso e a mobilidade da população local, favorecendo o desenvolvimento econômico e social da cidade."
Cidades,Ampliação de Infraestrutura,Garantir a gestão pública e otimizar o uso dos recursos hídricos do Canal do Sertão Alagoano,"Garantir a gestão pública e destinar recursos para a construção de sistemas de tratamento de água para consumo humano em toda a extensão do canal, haja vista que várias comunidades ainda não têm água encanada."
"Desenvolvimento e Assistência Social, Família e Combate à Fome","Orçamento público 
",Valorização do salário mínimo e redução de impostos ,"1° Reajuste real do salário mínimo para 1.500,00
2° Redução de impostos dos alimentos, combustíveis e gás de cozinha.
3° Reforço escolar para todas as séries.
4° Aulas avançadas de inglês e espanhol, para todos os estudantes da rede."
Meio Ambiente e Mudança do Clima,"Políticas públicas/sociais 
",Ajuda de custo e criaçao de Unidade de zoonoses em Alagoinhas Bahia.,"A proposta é ajuda de custo para os protetores individuais que possuem inúmeros animais e as associações de proteção Animal existente na cidade, a cidade possui uma enorme qualidade de animais nas ruas, fora os maus tratos sofridos nas ruas e nas casas, e nós protetores individuais dão apoio que a cidade não dá, nós endividando a cada dia, então solicitamos ajuda para que continuemos da apoio aos nossos animais errantes, situação de todas as cidades da Bahia questão de saúde pública."
Agricultura e Pecuária,"Orçamento público 
",Mercado Digital gov.br,"Atuar na criação de um mercado gratuito preferencialmente digital, onde qualquer cidadão poderá comercializar produtos, principalmente oriundos de artesanato, agricultura familiar e produção sustentável.

Justificativa: Atualmente as redes privadas e grandes marketplaces dominam esse mercado, oferecendo serviços a custos elevados que muitas vezes inviabilizam a comercialização de produtos produzidos em baixa quantidade, desta forma se demonstra fundamental o governo atuar nesse contexto."
Educação,"Educação
",Emancipação do campus do Mucuri em Teófilo Otoni -MG,"Criação da Universidade Federal do Nordeste Mineiro - UFNM, através da emancipação do campus do Mucuri da UFVJM, em Teófilo Otoni-MG."
Educação,"Educação
",Educação e sustentabilidade ,"Criar em todo o país mecanismos de educação visando o meio ambiente sustentável, valorizando nossa fauna e flora e a preservação dos profissionais de educação ambiental para que o Brasil possa ser um país renovado e sustentável."
Fazenda,"Orçamento público 
",Auditoria da Dívida Pública,Auditoria popular e cidadã da Dívida Pública para diminuir os juros e amortizações.
Saúde,"Ampliação infraestrutura
","Obrigatoriedade de todas as prefeituras do país a disponibilizar psicólogos(as) nas esferas da saúde pública, desde a atenção primária.","Tendo em vista a alta demanda em busca por serviços em psicologia, e consequentemente a superlotação do serviço, acontece de ter uma alta demanda para um baixo porcentual de efetivo de profissionais em psicologia contratado para atendendo a população.  A proposta é de que o governo federal crie um programa que garanta a população acesso ao serviço, custeado pelo SUS, atendendo ao modelo de saúde Biopsicossocial."
Saúde,"SUS 
",Fortalecer a Vigilância em Saúde como modelo de atenção do SUS,"O Brasil precisa adotar o modelo de atenção centrado na vigilância em sáude onde a determinação da doença é multifator e depende de respostas focadas nas condições de vida, incluindo trabalho, renda, escolaridade e acesso aos serviços e ações de saúde, colocando a atenção primária como porta de entrada do cuidado e reguladora da rede de atenção à saúde. ."
Meio Ambiente e Mudança do Clima,"Políticas públicas/sociais 
",Direitos dos animais e protetores ,"Oi! 
Propostas: 
1. Proibição da indústria, comércio e uso de fogos de artifício com estampido.
2. Subsídios para os produtos, serviços, medicamentos e criação de hospitais públicos 24h para animais e castramóvel (para ir às vilas para o povo que não tem como se deslocar até uma clínica ou dinheiro para pagar).
3. Banco de ração e/ou doação de ração para ONGs e protetores independentes, sob cadastro, e posterior abatimento no IR (por exemplo) do doador, mediante comprovação."
Educação,"Ensino 
",Inclusão de dietas vegetarianas no currículo obrigatório dos cursos de Nutrição.,"Atualmente, os cursos de Nutrição não oferecem disciplinas obrigatórias voltadas exclusivamente às dietas vegetarianas. Sendo o consumo de produtos animais um dos principais causadores de impactos ambientais negativos, proponho a inclusão de disciplinas obrigatórias sobre vegetarianismo na grade curricular desses cursos, de forma a incentivar esse tipo de dieta e melhor atender aos que já são adeptos dessa prática."
Saúde,"SUS 
",Carreira única do SUS,"Criar uma carreira única do SUS onde todas as categorias são valorizadas com Plano de Cargos, Carreiras e Vencimentos igual para todo o SUS, nas três esferas de gestão (municipal, estadual e federal), garantindo salário digno e valorização dos trabalhadores e trabalhadoras com educação permanente e continuada, com vistas a permanência da força de trabalho."
Legislativo,"Orçamento público 
",Investimento: Uma criação de um mercado cannabico no Brasil!,"Com o objetivo que seja criado um novo setor industrial e econômico no país, a criação de um novo mercado geraria novos empregos e auxiliaria no desenvolvimento do país. Tendo em vista que, a planta contém uma versatilidade grandiosa podendo ser trabalhada de diversas formas."
Saúde,"PCD
","Inclusão das pessoas com Fibromialgia, Lúpus e doenças correlatas como PcD's.","A inclusão se faz necessária para reconhecimento dos direitos humanos básicos para as pessoas com as patologias acima citadas. Afinal, conviver e viver com essa patologia dolorosa, desgastante fisicamente e mentalmente não é fácil para ninguém. É através desta justificativa e necessidade popular brasileira que clamo aos órgãos competentes uma análise minuciosa desse tema."
Portos e Aeroportos,"Políticas públicas/sociais 
",Isenção do passaporte ,"Criação de projeto que de isenção da taxa para passaporte para pessoas de baixa renda, dando assim oportunidade principalmente para estudantes concorrerem a vagas de bolsas de estudo no exterior tanto para suas inscrições como também  a possibilidade de viajar. Além claro de outros motivos de um cidadão de baixa renda conseguir ter o seu direito de ir e vir"
Saúde,"SUS 
",Atualizar e expandir o direito a medicamentos de alto custo,"A Relação Nacional de Medicamentos Essenciais (Rename) no momento se encontra defasada, não incluindo novos achados científicos sobre medicamentos e patologias. A exemplo, o tratamento medicamentoso para TDAH (que é de alto custo) não se encontra nessa lista e assim não garante ao cidadão o Direito a Saúde, ""definida no artigo 196 como direito de todos e dever do Estado, garantido mediante políticas sociais e econômicas que evitem o risco do agravo à saúde e também mediante o acesso universal""."
Saúde,"Servidores Públicos 
",Concurso público,Garantir concurso público para ingresso na carreira da Saúde e considerar como atividade restrita de estado as ações e serviços de saúde nas três esferas de gestão do SUS.
Previdência Social,"Reforma previdência 
",Previdencia social/aposentadoria,"Sugiro ao atual governo que reveja essa reforma da previdência de 2019. Muitas pessoas foram lesadas com a reforma que se tornou quase inatingível a aposentadoria nas regras atuais.
Sugestão: independentemente da idade a pessoa que atingir 38 anos de contribuição seja contemplado com a  aposentadoria integral.
Na forma que esta a regra, tomado como exemplo o meu caso e de milhares de brasileiros, irei me aposentar somente com 60 anos de idade 44 de contribuição. Nos socorra por favor presidente"
Educação,"Educação
",Inclusão de disciplina obrigatória de libras nos currículos dos ensinos fundamental e médio.,"Sendo a língua brasileira de sinais um idioma tão importante para a inclusão dos surdos na sociedade, sugiro a sua obrigatoriedade na grade curricular de todas as escolas, desde o ensino fundamental ao ensino médio."
Saúde,"SUS 
",Saúde direito humano,Aumentar leitos nos hospitais e garantir melhor atender para população idosa
Meio Ambiente e Mudança do Clima,"Políticas públicas/sociais 
",Proteção Animal,"- O Brasil precisa URGENTE de mais POLITICAS PÚBLICAS voltadas para os animais;
-  Precisa de leis municipais/estaduais e federais que punam rigorosamente os donos de animais vítimas de maus-tratos;
- Os órgãos públicos precisam incentivar a adoção responsável por meio de campanhas e publicações em redes sociais;  
- As autoridades precisam investigar os abandonos e punir os responsáveis;
- A causa animal precisa ser levada a sério e discutida no meio político, entre executivo e legislativo."
Educação,Ampliação de Infraestrutura,Educação de Jovens e Adultos,"Sou orientadora educacional no município de Fortaleza. A atual gestão, prefeito Sarto (pdt) fechou pela metade as escolas polo de Eja. Escolas fechadas em mais da metade. Alunos matriculados em 2022 remanejados para escolas distantes e por este motivo, abandonaram os estudos. Minha proposta seria retomar políticas públicas para a Eja, valorização de professores, material didático adequado e atualizado, legislação que não permita a extinção deste turno, por estados e municípios."
Cidades,Minha Casa Minha Vida,Habitação Social Sustentável para todos,"Construção de moradia a partir de um sistema de instrumentalização e capacitação da população brasileira, para difundir a autoconstrução e autogestão de obras, a partir de técnicas construtivas de baixo impacto ambiental e social. Integrando as práticas de construção de moradias do Minha Casa Minha Vida."
Agricultura e Pecuária,"Alimentação
",PAA OVO CAIPIRA - Incentivo a produção de Ovos Caipira para Combater a Fome e Desnutrição no Brasil,"Criação do PAA Ovo Caipira em moldes semelhante ao PAA Leite.

O objetivo é gerar a inclusão socioprodutiva dos agricultores familiares  e colaborar no combate a fome e desnutrição, com a doação de uma bandeja de ovos caipira por semana para famílias que estão cadastradas no CadÚnico e em vulnerabilidade nutricional.

O Ovo Caipira é consideradoum dos melhores alimentos do mundo, por ter grande valor nutricional e biológico, podendo ser consumido em todas as fases da vida."
Educação,Ensino,Psicólogos e terapeutas em todas as escolas ,"Criar espaços nas escolas com psicólogos e terapeutas com objetivo de ajudar na resolução e identificação de problemas. 
Envolver direção e família para ajudar a criança ou jovem na jornada de estudo e melhora percepção sobre expectativas."
Transportes,Ampliação de Infraestrutura,Programa de investimento em ferrovias,"Acredito que já existam propostas e leis para investimentos e ampliação da malha ferroviária no Brasil, mas a apresentação de um projeto nacional voltado para este tema é imprescindível. Os brasileiros precisam se locomover, e o transporte individual não supre toda a demanda do país. Peço que olhem com carinho para este tema."
"Desenvolvimento e Assistência Social, Família e Combate à Fome","Políticas públicas/sociais 
",Jovem e Idoso Tamos Juntos,"Minha proposta é para acabar com abandono de Idoso.
Sabemos que não é fácil ser idoso neste país pois muitos só é lembrado na hora de receber a pensão, a aposentadoria, indenização ou herança.
Sabendo que o Brasil passa por uma transformação na sociedade com cada vez mais aumentado número de idosos a minha sugestão é para o governo criar um programa voltado ao amparo ao idoso que mora só e precisa ajuda para viver indo a feira livre, mercado, hospital, posto de saúde.
Jovem acompanhante ao idoso"
 Integração e Desenvolvimento Regional,"Transporte 
",Melhorias no Passe Livre à Pessoa com Deficiência,"Atualmente há um completo descaso da ANTT e MT e Governo Lula referentes ao Passe Livre Interestadual à Pessoa com Deficiência.

Algumas sugestões de melhoria:
Revisão do Decreto 3.691 que restringe o direito ao ônibus convencional
Passe Livre Digital (Carteirinha Digital) com QR Code por App (gov.br)
Sistema que permita todos os procedimentos via internet
Implementação de Passe Livre Unificado Nacional para utilização em nível Interestadual, Intermunicipal e Urbano"
"Ciência, Tecnologia e Inovação","Ampliação infraestrutura
",Coworking Público,"Implantação de Coworking Público com infraestrutura para receber  microempreendedores individuais e micro empresários com objetivo de fomentar negócios inovadores e criativos. O espaço deverá ter acesso universal mediante cadastramento prévio e disponibilidade. A ação é desenvolvida em parceria com estados e municípios, universidade e a sociedade civil organizada, podendo qualquer deste, conjuntamente ou separadamente requerer sua implantação."
" Desenvolvimento, Indústria, Comércio e Serviços","Orçamento público 
","Uso da Conta unica do tesouro para infraestrutura, inovação e reforma agrária ","Utilizar recursos da conta única do tesouro para algo parecido com o fundo garantidor de crédito para investimento em infraestrutura ( priorizando ferrovia , hidrovia, energia limpa, mobilidade urbana e casa popular); gerando assim mais investimento privado em infraestrutura, gerando mais emprego, arrecadação e redução do custo brasil, usar recursos da conta única na embrapii e finep e para empréstimos para digitalização  a indústria 4.0 , e usar para compra de terras para reforma agrária"
Educação,"Servidores Públicos 
",Valorização dos Profissionais da Educação Básica,"Criar Legislação que obriguem estados e municípios a pagarem o Piso Nacional do Magistério, seja complementando valores para aqueles entes que não dispõe de recurso ou uma legislação que puna os que tem recursos mas não pagam. Valorizar o profissional da educação básica é essencial para uma educação de qualidade."
"Desenvolvimento e Assistência Social, Família e Combate à Fome","Bolsa Família 
",Verificação de dados bancários para inscrição no Bolsa Família e programas sociais voltados para o público de baixa renda,"A verificação da renda per capta por meio do cruzamento da movimentação financeira do cidadão que solicite inserção nos programas sociais de transferência de renda (Bolsa Família,etc) possibilitará a disposição do benefício para as famílias que realmente se enquadram no perfil social proposto. Atualmente estes benefícios consideram a renda declarada, todavia a omissão dos valores reais recebidos pelos grupos familiares desencadeiam injustiças, descrédito e uso eleitoreiro dos recursos públicos."
Educação,Ampliação de Infraestrutura,Criar mais estratégias para a promoção da atenção integrada na infância e adolescencia,"Investimento em creches ,investimento em atividades curriculares e extracurriculares ,programas esportivos ,programas de combate a fome e a desigualdade ,atenção especializada para crianças que sofrem abusos e proteção em todos os aspectos ,principalmente proteção das crianças e adolescentes ,leis mais rígidas   ,projetos voltados para a educação ,moradia e saúde ."
Educação,"Ampliação infraestrutura
",Educação  período integral  até final ensino médio. ,"Proporcionar educação em período integral para todos os estudantes desde o fundamental até conclusão ensino médio. 
No período de permanência na escola deverão realizar atividades de estudo pós aula, atividade esportiva,estudo sobre profissões, passeios culturais, aotenduzagem informática e idiomas, reuniões de acolhimento, voluntariado."
Saúde,Sistema Único de Saúde (SUS),Saúde Mental para Todos,"Existe uma epidemia de doenças mentais no país que só tende a aumentar, portanto é urgente que o governo tenha um programa voltado para esse público, com acesso a profissionais de qualidade, especialmente psiquiatras e medicações modernas, cujo uso tem melhores resultados. Tratar adequadamente essa população é gerar riqueza para o país, pois há diversas pessoas que poderiam estar trabalhando e ter uma vida normal. A saúde mental nunca foi prioridade nesse país e os números nunca foram tão altos."
Saúde,Ampliação de Infraestrutura,Programas de prevenção a gravidez na adolescência como ferramenta de romper o ciclo de pobreza.,"Programas de prevenção a gravidez na adolescência como ferramenta de romper o ciclo de pobreza.

Facilitar o acesso a contraceptivos de longa duração (DIU - DISPOSITIVO INTRAUTERINO) e educação sexual.

Educação sexual e acesso a contraceptivos reduzem desigualdade social e aborto. Informações e recursos permitem decisões informadas, prevenção de gravidezes indesejadas, oportunidades educacionais e de emprego, melhorando a qualidade de vida e promovendo uma sociedade mais justa e igualitária."
Educação,Ampliação de Infraestrutura,Educação em período INTEGRAL nas escolas,"Educação de qualidade em pe´ríodo integral com atividades extracurriculares.
Tendo reflexo direto na redução de criminalidade, afastando os jovens de situações de risco, na autonomia para as mães trabalharem em período integral, na diminuição de abuso sexual de crianças que ficam sendo cuidadas por terceiros enquanto as mães trabalham, geração de novas vagas de trabalho através do concurso público.
Capacitação para mirim dentro das escolas e encaminhamento para o 1º emprego."
Meio Ambiente e Mudança do Clima,"Proteção animal 
",Normas para replantio de árvores em grandes cidades e diminuir poluição visual das cidades ,"Políticas Públicas devem ser criadas com o objetivo de solucionar o problema da poluição visual. Alguns municípios aplicam normas que proíbem a excessiva quantidade de anúncios espalhados pela cidade, determinando que lojas e outros pontos comerciais adéquem suas fachadas de forma que proporcionem um local agradável para a população que transita por esses espaços. Além disso fomentar o plantio de árvores por habitante vinculado a desconto em impostos federais ."
Educação,"Educação
",Garantia da aprendizado de uma segunda língua ,"Criação de um projeto por parte do governo garantindo o ensino de línguas como:  Inglês, espanhol, francês, português, etc. Com isso cidadãos brasileiros natos e naturalizados, assim terão oportunidade de estudar idiomas de forma democrática, este projeto além de democratizar o ensino trará oportunidade de emprego para professores de idiomas, garantindo vagas e dando oportunidades a pessoas entrarem no mercado de trabalho pois hoje em dia um segundo idioma pode abrir portas."
Infraestrutura,"Ampliação infraestrutura
",Microgeração energía solar,"Fornecer subsidios e financiamentos para que familias de baixa renda possam instalar painéis solares de forma que gere excedente para injeção na rede com o fim de diminuir a necessidade de ativação das usinas termoelétricas, barateando o custo da energia para a indústria e a população em geral."
Educação,"Ensino 
",Inclusão de aulas sobre a Constituição Federal desde os primeiros anos do ensino fundamental ,"É urgente incluir na grade curricular escolar o ensino dos direitos e deveres para que as crianças já cresçam entendendo que alguns comportamentos, como xingar, por exemplo,  não são apenas desobediência,  mas atos graves e que podem acarretar em processos, multas ou o que mais estiver previsto na lei sobre cada caso. 
E também precisam saber que a lei vale para todos,  independentemente de concordar ou não com ela, ou até mesmo para quem alega desconhecê-la."
Educação,"Ensino 
",Direito básico nas escolas,"Programa que visa levar direito básico para escolas.
O programa tem como objetivo introduzir no ensino básico de forma lúdica direitos básicos necessários no dia a dia do cidadão, constitucional (princípios fundamentais, direitos e garantias fundamentais, direitos sociais e direitos políticos), direito do consumidor, etc..
Apresentar a Constituição ao cidadão como forma de fortalecimento da democracia.
O programa deve também incluir os pais, as crianças podem levar conhecimento para os país ou a"
Legislativo,"Ampliação infraestrutura
",Consulta Popular Armamentos,"Com a alta circulação de armas e mortes a proposta é que voltamos a fazer um debate sério sobre as armas com consulta Popular em referendo ou plebiscito.
É inadmissível que se use uma criança para levantar o apoio ao uso de armas como acontece.
Que façamos um debate sério com consulta popular pois a sociedade não pode pagar um alto preço de suas vidas por aqueles que desejam estar armados."
Desenvolvimento Agrário e Agricultura Familiar,Alimentação,PNAE 40% - Aquisição de no  Mínimo 40% de produtos da Agricultura Familiar,"Elevar o percentual mínimo de aquisição de produtos da Agricultura Familiar de 30 para 40% de todos os recursos destinados a Alimentação Escolar da União, Estados e Municípios. E punição para os gestores que não cumprirem. E criar mecanismo de ficalização e realização de chamadas públicas transmitidas on-line e gravadas, para combater a corrupção.

Hoja a Agricultura Familiar já evoluiu e pode fornecer diversos produtos tanto os ""in natura"", quanto os agroindustrializados."
Cidades,Moradia,Novas propostas para moradia,"Construção de moradia popular em autogestão.


Desapropriar prédios públicos municipal e estadual para fins de moradia popular para famílias sem-teto."
Educação,Educação,"Educação de qualidade  valorizando a priori , a qualificação e remuneração digna ao professor","O professor é a alma da Educação.Como o ser humano,ela precisa de condições básicas para viver.A Educação necessita de Professores que dê vida  e Esperança para os seus educandos.Necessita que o governo alimente o responsável pela a transformação e desenvolvimento de uma  nação sedenta de conhecimento e de oportunidades.Para que a Educação  cumpra este papel de transformação e formação ,é de suma importância que se dê um rendimento digno para os seus professores,pois eles transformam vidas."
Fazenda,Políticas públicas/sociais,"Credito a micro e ,pequena empresa ","Durante a pandemia muitas empresas que ja estavam comprometidas economicamente fecharão as portas ou seguiram ate hoje com grandes problemas para funcionar; como tem gente passando fome também tem empressario fazendo malabarismo para tocar seu negocio. 
Cada dia a situação peora ; estos empressarios na maioria não tem maiss credito ja que seu nome tem restriçoes assim se torna um circulo vicioso.
Se torna necessario um programa de auxilio a esta importante  parcela da economia."
Minas e Energia,Ampliação infraestrutura,Revitalização e revalorização da Petrobras,"Mudar a política de gestão da Petrobras, deixando de priorizar que os lucros vão mais para dividendos passando para investimentos. Pois esses tem poder multiplicador na economia, permitindo aumento da empregabilidade. Que a estatal retome a atuação integrada da cadeia de energia, ou seja, do poço ao posto (combustíveis), ao poste (energia elétrica), e ao pasto (fertilizantes). E, por fim, que atue fortemente na transição energética, migrando das fontes fósseis para as energias renováveis."
Legislativo,Segurança,´Segurança Pública Cidadã - Segurança juridica para os guardas municipais.,"Incluir as Guardas Municipais no inciso VII do Caput do artigo 144 da CF/88, para dar Segurança Ju´ridica para a atuação dos Guardas Municipais no patrulhamento preventivo no âmbito das cidades brasileiras. Atualmente, os guardas municipais representam o segundo maior efetivo entre as categorias da Segurança Pública, em torno de 120 mil profissionais, presentes em mais de 1.256 Municípios. Segurança Pública começa nos Municípios."
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Alimentação,No mínimo 1 Bilhão de reais por ano de 2024 para o PAA Doação Simultânea ,"O maior programa de inclusão socioprodutivo do país e quiça do Mundo, o Programa de Aquisição de Alimentos é a maior ferramenta de Combate a Fome e a Desnutrição, e de geração de trabalho, emprego e renda no campo. Por isso, o PAA na modalidade Compra com Doação Simultânia deve ter os seus recursos garantidos e ampliados anualmente. Com ajustes adequados na Tabela de Preços da CONAB.

Sugerimos o aporte de 1 Bilhão de reais para o PAA CDS em 2024, o acréscimo de 200 milhões por ano do PPA."
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Moradia,Política de acolhimento e restauração da cidadania de pessoas em situação de rua,"O aumento da miséria levou milhões de brasileiros a viverem nas ruas, principalmente nas grandes cidades. São pessoas em altíssima vulnerabilidade cujos direitos básicos à saúde, moradia, educação e emprego são negados. Resolver esse problema passa por uma ação multidisciplinar de assistência social e jurídica, que prevê o acolhimento, recuperação da cidadania e disponibilidade de moradia através do cumprimento da leis acerca de imóveis abandonados e endividados."
Meio Ambiente e Mudança do Clima,Proteção animal,Direito Animalista,"Criação e implementação de Programa Federal para controle populacional ético de cães e gatos em situação de rua e famílias multiespécies vulneráveis, por meio de repasse de recursos aos municipios brasileiros.

Ministério: Meio Ambiente"
 Integração e Desenvolvimento Regional,Ampliação infraestrutura,Territórios de identidade,Criação de territórios de identidades em todos os estados do país
Previdência Social,Aposentadoria,Aposentadorias - idade mínima,Retirada das idades mínimas das aposentadorias
Educação,Educação,Criaçâo da disciplina de educação financeira.,"É necessário que nossos jovens, ao mesmo tempo que recebem informações variadas, tenham acesso à saber lidar com um fator determinante para suas vidas que é o Dinheiro. A educação financeira nas escolas irá formar gerações de jovens conscientes e informados sobre como gerir melhor seus recursos, como fazer as melhores escolhas na hora de comprar e/ou vender, como ser um empreendedor ou até mesmo um investidor."
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Alimentação,Criação de um programa de restaurantes populares e apoio a cozinhas comunitárias,"Criação de um programa ou política pública a nível nacional que possibilite o investimento sistemático na construção de restaurantes populares e o apoio a cozinhas comunitárias e outras iniciativas similares, como forma de assegurar o acesso de famílias de baixa renda, estudantes e trabalhadores a alimentos saudáveis e de qualidade, provenientes principalmente da agricultura familiar, garantindo o seu direito humano à alimentação e reduzindo carências nutricionais."
